sequential test: size of graph: 3240; time: 3; ms
sequential test: size of graph: 3250; time: 3; ms
sequential test: size of graph: 3260; time: 3; ms
sequential test: size of graph: 3270; time: 4; ms
sequential test: size of graph: 3280; time: 3; ms
sequential test: size of graph: 3290; time: 3; ms
sequential test: size of graph: 3300; time: 4; ms
sequential test: size of graph: 3310; time: 3; ms
sequential test: size of graph: 3320; time: 3; ms
sequential test: size of graph: 3330; time: 4; ms
sequential test: size of graph: 3340; time: 3; ms
sequential test: size of graph: 3350; time: 4; ms
sequential test: size of graph: 3360; time: 3; ms
sequential test: size of graph: 3370; time: 4; ms
sequential test: size of graph: 3380; time: 3; ms
sequential test: size of graph: 3390; time: 4; ms
sequential test: size of graph: 3400; time: 3; ms
sequential test: size of graph: 3410; time: 4; ms
sequential test: size of graph: 3420; time: 3; ms
sequential test: size of graph: 3430; time: 4; ms
sequential test: size of graph: 3440; time: 4; ms
sequential test: size of graph: 3450; time: 3; ms
sequential test: size of graph: 3460; time: 4; ms
sequential test: size of graph: 3470; time: 4; ms
sequential test: size of graph: 3480; time: 3; ms
sequential test: size of graph: 3490; time: 4; ms
sequential test: size of graph: 3500; time: 4; ms
sequential test: size of graph: 3510; time: 4; ms
sequential test: size of graph: 3520; time: 3; ms
sequential test: size of graph: 3530; time: 4; ms
sequential test: size of graph: 3540; time: 4; ms
sequential test: size of graph: 3550; time: 4; ms
sequential test: size of graph: 3560; time: 4; ms
sequential test: size of graph: 3570; time: 3; ms
sequential test: size of graph: 3580; time: 4; ms
sequential test: size of graph: 3590; time: 4; ms
sequential test: size of graph: 3600; time: 4; ms
sequential test: size of graph: 3610; time: 4; ms
sequential test: size of graph: 3620; time: 4; ms
sequential test: size of graph: 3630; time: 4; ms
sequential test: size of graph: 3640; time: 4; ms
sequential test: size of graph: 3650; time: 4; ms
sequential test: size of graph: 3660; time: 4; ms
sequential test: size of graph: 3670; time: 4; ms
sequential test: size of graph: 3680; time: 5; ms
sequential test: size of graph: 3690; time: 4; ms
sequential test: size of graph: 3700; time: 4; ms
sequential test: size of graph: 3710; time: 4; ms
sequential test: size of graph: 3720; time: 4; ms
sequential test: size of graph: 3730; time: 4; ms
sequential test: size of graph: 3740; time: 5; ms
sequential test: size of graph: 3750; time: 4; ms
sequential test: size of graph: 3760; time: 5; ms
sequential test: size of graph: 3770; time: 4; ms
sequential test: size of graph: 3780; time: 4; ms
sequential test: size of graph: 3790; time: 5; ms
sequential test: size of graph: 3800; time: 4; ms
sequential test: size of graph: 3810; time: 4; ms
sequential test: size of graph: 3820; time: 5; ms
sequential test: size of graph: 3830; time: 4; ms
sequential test: size of graph: 3840; time: 5; ms
sequential test: size of graph: 3850; time: 5; ms
sequential test: size of graph: 3860; time: 4; ms
sequential test: size of graph: 3870; time: 5; ms
sequential test: size of graph: 3880; time: 4; ms
sequential test: size of graph: 3890; time: 5; ms
sequential test: size of graph: 3900; time: 5; ms
sequential test: size of graph: 3910; time: 4; ms
sequential test: size of graph: 3920; time: 5; ms
sequential test: size of graph: 3930; time: 5; ms
sequential test: size of graph: 3940; time: 5; ms
sequential test: size of graph: 3950; time: 5; ms
sequential test: size of graph: 3960; time: 4; ms
sequential test: size of graph: 3970; time: 5; ms
sequential test: size of graph: 3980; time: 5; ms
sequential test: size of graph: 3990; time: 5; ms
sequential test: size of graph: 4000; time: 4; ms
sequential test: size of graph: 4010; time: 5; ms
sequential test: size of graph: 4020; time: 5; ms
